Date,Open,High,Low,Close,Adj Close,Volume
2020/7/14,230,236,226,228,220.703995,204600
2020/7/15,228,232,226,228,220.703995,131700
2020/7/16,232,234,222,230,222.639999,527700
2020/7/17,230,236,228,234,226.511993,325900
2020/7/20,234,234,226,230,222.639999,160500
2020/7/21,230,238,226,236,228.447998,222100
2020/7/22,236,240,232,238,230.384003,245600
2020/7/23,238,260,232,244,236.192001,668200
2020/7/24,246,250,236,240,232.319992,1207700
2020/7/27,240,274,236,244,236.192001,1934500
2020/7/28,244,256,242,250,242,557800
2020/7/29,250,256,240,242,234.255997,1245700
2020/7/30,242,246,230,234,226.511993,474400
2020/8/3,230,230,220,228,220.703995,343200
2020/8/4,230,232,224,230,222.639999,180500
2020/8/5,232,240,228,240,232.319992,537000
2020/8/6,240,250,234,240,232.319992,1710400
2020/8/7,240,248,234,246,238.128006,815000
2020/8/10,248,254,248,252,243.936005,1711100
2020/8/11,254,268,250,256,247.807999,1199100
2020/8/12,256,258,250,258,249.744003,657300
2020/8/13,258,268,246,250,242,2528100
2020/8/14,258,258,246,252,243.936005,669500
2020/8/18,254,254,246,250,242,522900
2020/8/19,252,252,244,248,240.063995,1264600
2020/8/24,248,250,244,246,238.128006,736100
2020/8/25,248,252,242,250,242,2644900
2020/8/26,244,248,236,240,240,1025000
2020/8/27,240,240,234,238,238,859100
2020/8/28,238,238,232,234,234,485800
2020/8/31,238,242,230,234,234,1227300
2020/9/1,240,240,230,232,232,571900
2020/9/2,238,238,224,226,226,1215300
2020/9/3,226,230,224,228,228,3436200
2020/9/4,230,230,222,226,226,2736600
2020/9/7,226,226,220,224,224,1174600
2020/9/8,222,226,220,224,224,9202100
2020/9/9,226,226,220,222,222,1219100
2020/9/10,220,220,208,210,210,2131200
2020/9/11,210,212,204,210,210,2156900
2020/9/14,210,216,210,214,214,1888700
2020/9/15,216,216,212,212,212,1737700
2020/9/16,214,220,212,212,212,5406100
2020/9/17,212,214,204,210,210,2628700
2020/9/18,210,232,210,214,214,3653100
2020/9/21,214,214,202,202,202,1906000
2020/9/22,202,202,198,200,200,2225300
2020/9/23,204,206,199,202,202,2418900
2020/9/24,202,204,188,196,196,2879900
2020/9/25,196,197,192,194,194,1512400
2020/9/28,194,198,190,191,191,2327000
2020/9/29,193,194,190,190,190,2452700
2020/9/30,192,194,187,188,188,1748300
2020/10/1,189,190,187,187,187,2297300
2020/10/2,188,195,187,189,189,7676600
2020/10/5,192,192,188,190,190,2458600
2020/10/6,190,192,189,190,190,2248100
2020/10/7,190,191,189,190,190,1846200
2020/10/8,192,193,189,191,191,3079800
2020/10/9,191,191,189,191,191,2083200
2020/10/12,192,204,192,196,196,8407600
2020/10/13,197,199,191,194,194,4013400
2020/10/14,194,195,192,192,192,2984900
2020/10/15,192,193,190,191,191,2449000
2020/10/16,191,194,190,192,192,1829200
2020/10/19,194,195,191,191,191,3251100
2020/10/20,191,193,189,190,190,1721400
2020/10/21,190,191,189,190,190,2041600
2020/10/22,191,196,189,191,191,1900100
2020/10/23,191,191,188,189,189,1871900
2020/10/26,189,191,188,189,189,1747000
2020/10/27,189,191,188,190,190,1583700
2020/11/2,187,190,186,188,188,2359700
2020/11/3,191,202,190,202,202,11477300
2020/11/4,204,212,198,198,198,9593300
2020/11/5,199,204,198,199,199,4141400
2020/11/6,200,202,197,198,198,3225100
2020/11/9,199,199,197,198,198,2447500
2020/11/10,199,199,194,197,197,4277600
2020/11/11,197,202,196,202,202,6052900
2020/11/12,204,208,199,199,199,3024900
2020/11/13,199,202,199,200,200,2604800
2020/11/16,202,204,200,200,200,2662200
2020/11/17,202,202,199,200,200,3644600
2020/11/18,200,202,199,200,200,2427600
2020/11/19,202,206,200,204,204,6011600
2020/11/20,206,214,204,212,212,14804700
2020/11/23,214,218,212,214,214,16149700
2020/11/24,216,218,208,212,212,9782400
2020/11/25,212,216,210,210,210,6524500
2020/11/26,210,228,208,224,224,21523200
2020/11/27,228,242,228,230,230,21720400
2020/11/30,240,240,214,218,218,14842100
2020/12/1,220,226,214,222,222,9411000
2020/12/2,224,234,222,232,232,13885500
2020/12/3,234,240,230,232,232,11913600
2020/12/4,232,232,224,228,228,6785200
2020/12/7,232,284,230,284,284,75833700
2020/12/8,304,344,276,290,290,113941900
2020/12/10,290,300,270,270,270,28671200
2020/12/11,256,272,256,262,262,8350300
2020/12/14,250,288,250,268,268,30079600
2020/12/15,264,288,264,286,286,33007300
2020/12/16,296,306,276,278,278,101557500
2020/12/17,264,286,264,276,276,13835000
2020/12/18,276,280,270,272,272,4606500
2020/12/21,274,288,268,278,278,37493500
2020/12/22,280,282,270,270,270,18198300
2020/12/23,270,274,252,258,258,11180100
2020/12/28,260,272,244,266,266,16363000
2020/12/29,268,272,258,258,258,6531700
2020/12/30,258,264,244,244,244,9895000
2021/1/4,252,254,232,242,242,8848400
2021/1/5,242,274,236,258,258,32068300
2021/1/6,258,264,248,254,254,9355000
2021/1/7,254,260,248,252,252,5204700
2021/1/8,252,258,252,254,254,4866700
2021/1/11,254,256,248,254,254,7481600
2021/1/12,256,258,244,248,248,6467400
2021/1/13,250,252,242,252,252,7828200
2021/1/14,252,256,248,248,248,3563500
2021/1/15,252,252,242,242,242,3976600
2021/1/18,240,244,232,236,236,6146800
2021/1/19,240,244,232,232,232,6436500
